name,rating,price,proteins,fats,carbohydrates,calorie_category,fat_to_protein_ratio
"Пури Грузинский, 400 г",0,79.0,7.0,2.5,51.0,Низкая,0.35714285714285715
Лаваш По-Еревански тонкий 120г,0,42.0,7.0,2.5,51.0,Низкая,0.35714285714285715
"Творожная масса «Клубника» 5%, 200 г",0,185.0,14.0,5.0,14.3,Низкая,0.35714285714285715
"Черника с/м, 2,5 кг",0,679.0,1.1,0.4,7.6,Очень низкая,0.36363636363636365
"Пельмени из горбуши, зам, 400 гр",5,229.0,8.6,3.3,27.6,Низкая,0.38372093023255816
"Куриная грудка, запеченная с овощами, 250 гр",5,223.0,10.4,4.0,6.3,Очень низкая,0.3846153846153846
"Голень с кожей цыплят-бройлеров, охл. (средний вес - 1 кг)",0,275.0,18.0,7.0,0.0,Очень низкая,0.3888888888888889
"Филе бедра цыплят-бройлеров, охл. (средни вес - 1 кг)",0,459.0,18.0,7.0,0.0,Очень низкая,0.3888888888888889
"Хлеб пшеничный с полбой, 350 г",0,92.0,9.0,3.6,46.0,Низкая,0.4
Хинкали АЯ с мясом говядины 400г,0,339.0,10.0,4.0,22.0,Низкая,0.4