id,product_id,rating,text,date,user_name
21,2313,5,"Самый вкусный шашлык! Летом делаем в тандыре, зимой в духовке. Очень вкусно!",06 янв 2022,Анна
294,1893,5,"Прекрасные рёбрышки. Пожарили на гриле - сочные, ароматные, мясистые, не жирные.",18 июл 2023,Аноним
290,3043,5,ОЧЕНЬ И ОЧЕНЬ ВКУСНО. СЕМЬЕ ПОНРАВИЛОСЬ,17 июл 2023,Аноним
289,3044,4,Норм. Пойдет на каждый день,17 июл 2023,Аноним
99,1932,5,"Курица понравилась. Запекала в духовке с овощами. Что приятно удивило, ""воды"" после запекания на листе не было. Спинку, части грудки и крылья пошли на суп, получился вкусный, вполне наваристый бульон. Вдвойне приятно, что цена низкая относительно качества. Куплю еще не раз!",28 сен 2022,Аноним
271,1932,5,беру не впервые и всегда остаюсь довольна. товар прекрасного качества.,01 июн 2023,наталья
285,1431,5,"Очень вкусная колбаска , особенно с хлебцами и сливочным плавленым сыром",12 июл 2023,Аноним
339,2058,5,Вкусный сервелат с цельным кедровым орехом.,29 ноя 2023,Любовь Федоровна
98,911,5,"Колбаса достойного качества , вкусная , может пригодиться не только для бутербродов, но и для очень вкусного простого супчика !",21 сен 2022,Аноним
295,1386,5,"Вкусный сытный торт для перекуса , чуть подсолить и поперчить, на мой вкус, и получается отлично!",18 июл 2023,Аноним
400,1070,5,Очень нравится пастрома. Постоянно заказываю.,26 ноя 2024,Любовь Федоровна
284,556,5,"Сосиски отличные! Вкусные, настоящие! Спасибо! Понравились всем моим близким!",12 июл 2023,Аноним
255,1509,5,"Вкусный паштет. Без свинных ингридиентов. Нежный. Приемлемая стоимость.",17 апр 2023,Аноним
36,1701,5,"Спасибо фермеру, молоко отличное. То от чего не открывается моя полуторагодовалая дочь. Она выбрала своего фермера",02 фев 2022,Алена
91,1701,5,"Молоко ,,Красной Горки,, вкусное👍",04 сен 2022,Аноним
95,1745,5,Вкусное Молоко.,11 сен 2022,Аноним
200,1745,5,Самое вкусное Молоко,22 фев 2023,Аноним
132,1189,5,Отличный творог!,24 ноя 2022,Марина
270,1742,5,очень свежий и очень вкусный привезли кефир. спасибо.,31 мая 2023,наталья
137,1542,5,Это вкусно!! Необычно!,05 дек 2022,Аноним
376,2127,5,"Вкуснейшие вареники! Капуста просто идеальная, тесто тонкое, начинки очень много.",02 июн 2024,Аноним
399,22476,5,Вкусные вареники. Мне понравились.,02 ноя 2024,Любовь Федоровна
330,2131,5,"Котлеты очень вкусные и сочные! Начала их покупать, когда ребёнку ввела прикорм из рыбы. Ребенок их ест с удовольствием, состав идеальный, кости не попадаются! Нет неприятного запаха во время готовки! Спасибо Калине Малине за качественные товары!",23 ноя 2023,Аноним
12,351,5,"Хорошие сырники. Но на упаковке неверная информация по приготовлению. Замороженный продукт в духовке на 120 градусах за 20 минут успевает только разморозиться, а не приготовиться. Нужно 180 градусов и 30 минут.",17 дек 2021,Ксения
39,351,5,"Обалденные сырники, точно самые вкусные из всех что я когда-либо ел, правда и цена конечно не маленькая. Причем это не те же сырники, которые в калине-малине продаются уже приготовленными, здесь действительно очень много творога",20 фев 2022,Матвей
245,2951,5,"Очень вкусная пицца, хрустящее тесто, просто и быстро приготовить)",05 апр 2023,Аноним
246,2948,5,"Очень вкусная пицца, покупал на Комсомольском. Жаль нет в магазине других вариантов. Тесто хорошее и сыра не пожалели.   Лучшая среди замороженных пицц, которую я пробовал.",05 апр 2023,Аноним
350,2173,5,Очень вкусный борщ.,06 янв 2024,Аноним
351,2173,5,Очень вкусный борщ.,06 янв 2024,Аноним
155,1836,5,"Часто покупаю. Очень вкусно приготовлено, как бы странно это ни звучало. Пюре - вкусное, рыба - вкусная. Ни разу не было не вкусно. Костей в рыбе не попадалось еще",25 дек 2022,Аноним
240,2107,5,"Овощи сочные, вкус насыщенный. Куриное филе так же приготовлено сочно. Беру неоднократно. По соли все сбалансировано. КБЖУ в отличном соотношении 👌",02 апр 2023,Аноним
277,1091,5,Отличный вок! Самое то для полноценного обеда. По размеру порции мне в самый раз.,05 июл 2023,Аноним
218,2274,5,Очень вкусный салат! Рекомендую!,14 мар 2023,Аноним
168,1244,5,"Любимые блинчики сына! Всегда покупаем по 2-3 пачки)) Шоколад достаточно жидкий, если есть в тепле, может потечь.",14 янв 2023,Аноним
386,1274,5,Огромная благодарность производителю за маслице.Очень понравилось!!!Без горечи!,17 июл 2024,Ишкина Наталья
374,879,5,"Невероятно вкусный хлеб. Ем и не могу наесться. Это хлеб как из деревни, не с фабрики : хлеб с лёгкой кислинкой, мякиш в меру плотный, сам хлеб ароматный. С бульоном вкусно. С чаем с маслом и сыром , с вареньем тоже вкусно.",27 мая 2024,Аноним
33,2081,5,"Икра очень нравится, не первый раз беру. Заказываю через сайт.",27 янв 2022,Юлия
150,770,5,"Вкусные хорошие помидоры, аболденный рассол, не кмслый",20 дек 2022,Алена
354,360,5,"Очень нравится капуста данного производителя. Сладковато-островатая, хрустящая.",06 янв 2024,Аноним
353,1614,5,"Очень вкусная, хрустящая капуста",06 янв 2024,Аноним
51,393,2,Очень сладкая,20 мар 2022,Алена
304,2322,5,"Мне очень понравилась тушенка. Вкусная, много мяса кусочками. СПАСИБО.",10 авг 2023,Аноним
305,2604,5,Тушенка нормальная. Но много жидкости. А так вкусно.,10 авг 2023,Аноним
94,2266,5,"Вкусный и сытный перекус, много семечек в составе, очень понравилось",10 сен 2022,Аноним
41,399,5,Очень вкусная! Правда зачем там акт.уголь не очень поняли),25 фев 2022,Анастасия
239,403,5,Вкусная. Но цена завышена.,30 мар 2023,Ксения
11,896,4,Вкусно! Но на сайте не указан вес пряника.,17 дек 2021,Ксения
86,896,4,"Фото не соответствует полученному в доставке прянику. Доставили льва,  а должен быть лист. Это не очень приятный сюрприз. Дата изготовления меньше недели, вкусовые качества, я думаю, как всегда, отличные.",29 авг 2022,Аноним
68,595,5,"Это лучшее, что я ела за последние несколько лет в❤️",13 июл 2022,Людмила
72,2236,5,"Это просто божественно. Очень вкусное, сытное. Беру уже не первый раз.",31 июл 2022,Светлана Юрьевна
384,22568,5,"Обожаю этот десерт, перепробовала у многих.  У этого изготвителя очень вкусный, прям фаворит.",08 июл 2024,Аноним
385,22568,5,Обожаю этот десерт.  Пробовала у многих.  У этого производителя прям фаворит.,08 июл 2024,Аноним
282,2461,5,"Попробовали данную шоколадную колбаску. Были приятно удивлены вкусом натуральных ингредиентов, десерт тает во рту!Очень вкусно:)",09 июл 2023,Аноним
397,2237,1,"На упаковке пишут с клубникой, по факту апельсин",29 окт 2024,Аноним
56,1188,5,Беру с любым заказом. Всегда свежие и вкусные.,04 мая 2022,Евгений
276,2191,5,очень вкусный квас. выпит на ура. спасибо.,23 июн 2023,наталья
189,1389,5,"Прекрасный взвар из шиповника. По своей насыщенной концентрации это действительно взвар, а не просто морс или напиток. И очень вкусный. И к тому же, как известно, очень полезный. Особенно хорош с приближением весны и авитоминоза. Спасибо тем, кто занимается его приготовлением! Мы покупали бы его почаще, но сдерживает только одно - взвар содержит сахара многовато. Ведь, если кто-то предпочитает сладкие напитки, то сахар или мед можно добавить прямо в чашку. А вот разбавить водой, чтобы уменьшить сладость, не хочется - он потому и вкусный, что насыщенный. Поэтому это наше пожелание - уменьшить сладость.",07 фев 2023,Аноним
132,1189,5,Отличный творог!,24 ноя 2022,Марина
99,1932,5,"Курица понравилась. Запекала в духовке с овощами. Что приятно удивило, ""воды"" после запекания на листе не было. Спинку, части грудки и крылья пошли на суп, получился вкусный, вполне наваристый бульон. Вдвойне приятно, что цена низкая относительно качества. Куплю еще не раз!",28 сен 2022,Аноним
271,1932,5,беру не впервые и всегда остаюсь довольна. товар прекрасного качества.,01 июн 2023,наталья
